SITE_NAME,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,PARISH
HAYTOR VIEW COMMUNITY PRIMARY SCHOOL-FORMER INFANT SCHOOL SITE (SANDRINGHAM),QUEENSWAY,,NEWTON ABBOT,DEVON,TQ124BD,Newton Abbot CP
SHALDON PRIMARY SCHOOL-MAIN SCHOOL SITE,BRIDGE ROAD,,SHALDON,DEVON,TQ140DD,Shaldon CP
STARCROSS PRIMARY SCHOOL-MAIN SCHOOL SITE,NEW ROAD,STARCROSS,EXETER,DEVON,EX68QD,Starcross CP
STARCROSS PRIMARY SCHOOL-PARISH FIELD,NEW ROAD,STARCROSS,EXETER,DEVON,EX68QD,Starcross CP
STOKE FLEMING COMMUNITY PRIMARY SCHOOL,,STOKE FLEMING,DARTMOUTH,DEVON,TQ60QA,Stoke Fleming CP
STOKE GABRIEL PRIMARY SCHOOL-MAIN SCHOOL SITE,SCHOOL HILL,STOKE GABRIEL,TOTNES,DEVON,TQ96ST,Stoke Gabriel CP
STOKE GABRIEL PRIMARY SCHOOL-SCHOOL HILL FIELD,SCHOOL HILL,STOKE GABRIEL,TOTNES,DEVON,TQ96ST,Stoke Gabriel CP
STOKEINTEIGNHEAD SCHOOL,SCHOOL ROAD,STOKEINTEIGNHEAD,NEWTON ABBOT,DEVON,TQ124QE,Stokeinteignhead CP
STOKENHAM AREA PRIMARY SCHOOL,,STOKENHAM,KINGSBRIDGE,DEVON,TQ72SJ,Stokenham CP
HAZELDOWN SCHOOL,MAUDLIN DRIVE,HIGHER EXETER ROAD,TEIGNMOUTH,DEVON,TQ148SE,Teignmouth CP
TEIGNMOUTH COMMUNITY SCHOOL,MILL LANE,,TEIGNMOUTH,DEVON,TQ149BB,Teignmouth CP
THE GROVE PRIMARY SCHOOL,THE GROVE,,TOTNES,DEVON,TQ95ED,Totnes CP
WIDECOMBE IN THE MOOR PRIMARY SCHOOL-MAIN SCHOOL SITE,,WIDECOMBE,NEWTON ABBOT,DEVON,TQ137TB,Widecombe in the Moor CP
WIDECOMBE IN THE MOOR PRIMARY SCHOOL-PLAYING FIELD,,WIDECOMBE,NEWTON ABBOT,DEVON,TQ137TB,Widecombe in the Moor CP
BRADLEY BARTON PRIMARY SCHOOL & NURSERY UNIT,OGWELL MILL ROAD,BRADLEY VALLEY,NEWTON ABBOT,DEVON,TQ121PR,Newton Abbot CP
BERE ALSTON PRIMARY SCHOOL,,BERE ALSTON,YELVERTON,DEVON,PL207AU,Bere Ferrers CP
BOASLEY CROSS COMMUNITY PRIMARY SCHOOL,,BRATTON CLOVELLY,OKEHAMPTON,DEVON,EX204JH,Sourton CP
BRIDESTOWE PRIMARY SCHOOL,,BRIDESTOWE,OKEHAMPTON,DEVON,EX204EL,Bridestowe CP
ERMINGTON PRIMARY SCHOOL,,ERMINGTON,IVYBRIDGE,DEVON,PL219NH,Ermington CP
GULWORTHY PRIMARY SCHOOL-MAIN SCHOOL SITE,,GULWORTHY,TAVISTOCK,DEVON,PL198JA,Gulworthy CP
GULWORTHY PRIMARY SCHOOL-PLAYING FIELD & CAR PARK,,GULWORTHY,TAVISTOCK,DEVON,PL198JA,Gulworthy CP
HATHERLEIGH COMMUNITY PRIMARY SCHOOL,SOUTH STREET,HATHERLEIGH,OKEHAMPTON,DEVON,EX203JB,Hatherleigh CP
HIGHAMPTON COMMUNITY PRIMARY SCHOOL,,HIGHAMPTON,BEAWORTHY,DEVON,EX215LE,Highampton CP
